source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_detail,decision
BQ029,A025,1601939749045,BQ029-W1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ029,A025,1601939607770,BQ029-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ029,A025,1601939721228,BQ029-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ003,R1218,1601939663432,BQ003-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ003,R1218,1601939585904,BQ003-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ003,R1218,1601939665367,BQ003-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
