product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,1,https://sc04.alicdn.com/kf/S48c281c73fe04a35ad59728a32810912i.jpg,320,320,0.845,0.885,0.7478,0.3838,,
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,2,https://sc04.alicdn.com/kf/Sd36f791b5a984e0da2b61c5063f28b06m.jpg,320,320,0.5825,0.7225,0.4209,0.1904,,
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,3,https://sc04.alicdn.com/kf/S6c63023ea0b345c8b013c53395b6e442K.jpg,320,320,0.7925,0.4725,0.3745,0.2675,,
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,4,https://sc04.alicdn.com/kf/S08aa143e2c1145da8bfd8ed5ee79c4f0q.jpg,320,320,0.7375,0.4625,0.3411,0.2105,,
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,5,https://sc04.alicdn.com/kf/Sdfd930a89cd04a69a7fe88f990268825E.jpg,320,320,0.7975,0.2625,0.2093,0.1387,,
1,1601939709217,AAG7jmk4AOWGex-cDVm7ihrC,BQ021-R1 / K6212,Lightweight Knit Slip On Walking Shoes Breathable Casual Sneakers for Travel and Daily Wear K6212,approved,Y,6,https://sc04.alicdn.com/kf/Sf68bdc8c63ce43e698d9ff4a437f6d0cE.jpg,320,320,0.7525,0.35,0.2634,0.1713,,
