product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,1,https://sc04.alicdn.com/kf/H62545d1b94564aacb12cab28403ff63bO.png,320,320,0.905,0.54,0.4887,0.4582,,
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,2,https://sc04.alicdn.com/kf/H05c448446e04469b93cab887e35f5954v.png,320,320,0.9125,0.575,0.5247,0.5126,,
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,3,https://sc04.alicdn.com/kf/Hd6b686c0ace14c809fe83bc11296c8c2S.jpg,320,320,1.0,1.0,1.0,0.9719,,
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,4,https://sc04.alicdn.com/kf/H164e9790061c487594b917072ce9ee86L.jpg,320,320,0.97,0.4725,0.4583,0.263,,
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,5,https://sc04.alicdn.com/kf/H21239b498dc549f9af89d00463585275V.jpg,320,320,0.86,0.8425,0.7246,0.2995,,
1,1601939641542,AAEajmk4AOWGex-cDVm7jRMl,BQ018-R1 / A116,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model A116,modified,N,6,https://sc04.alicdn.com/kf/H14b9fc284ad54c9e84a138df697091d1q.jpg,320,320,0.875,0.8425,0.7372,0.3021,,
