product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,1,https://sc04.alicdn.com/kf/H06159c979e004d89af13a2e613331181k.jpg,320,320,0.74,0.465,0.3441,0.2187,,
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,2,https://sc04.alicdn.com/kf/He5836c30357c45abb916dc06e0e84678L.jpg,320,320,0.875,0.8375,0.7328,0.5404,,
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,3,https://sc04.alicdn.com/kf/Hd3c2f9e9e28d4b0e8ae0784f9b3fc1d9N.jpg,320,320,0.735,0.8375,0.6156,0.3501,,
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,4,https://sc04.alicdn.com/kf/H2404fa28cc5c4b509768256866e01461l.jpg,320,320,0.875,0.8375,0.7328,0.3556,,
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,5,https://sc04.alicdn.com/kf/H6e8ae33ff14044dfb75f33fba28bb425C.jpg,320,320,0.75,0.8375,0.6281,0.3638,,
1,10000044021584,AAEWjmk4AOWGexecDTURlFCz,BQ-016,2026 New Kids Slip-On Walking Shoes 201 Solid Mesh Lining Spring Autumn Breathable Lightweight Chunky Sole Sneakers OEM ODM,approved,Y,6,https://sc04.alicdn.com/kf/S90f9595169df48c9878b261922822781n.jpg,320,320,0.8375,0.815,0.6826,0.1668,,
