product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,1,https://sc04.alicdn.com/kf/Ha7b60bdb155945bab9d8ae259e593059b.jpg,320,320,0.74,0.46,0.3404,0.2163,,
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,2,https://sc04.alicdn.com/kf/S0a7f36fa3fe74673a20e7822cac295afF.jpg,320,320,0.76,0.4825,0.3667,0.2298,,
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,3,https://sc04.alicdn.com/kf/S46a93ebd71b142e0b8a523ad320ff120O.jpg,320,320,0.7925,0.4525,0.3586,0.2009,,
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,4,https://sc04.alicdn.com/kf/Scf693653bcdc4d8a971b42f2d61d97a4J.jpg,320,320,0.7375,0.3975,0.2932,0.1713,,
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,5,https://sc04.alicdn.com/kf/S4e388a0d6819433b98c89d0a78fa9c59J.jpg,320,320,0.7975,0.47,0.3748,0.2441,,
1,1601939616747,AAGdjmk4AOWGex-cDVm7jLQI,BQ019-W1 / A206,Wholesale Men's Casual Sneakers Knit Textile Lace Up Walking Shoes Factory Supply A206,approved,Y,6,https://sc04.alicdn.com/kf/S6af89ed5446b412cbd68196c78fdbb40d.jpg,320,320,0.75,0.4275,0.3206,0.2129,,
